indeks;czas;sublat;sublong
1;2020/12/19 09:33:53.261796;-48.49000593696757;-143.37124411293038
2;2020/12/19 09:33:54.295224;-48.46664669000613;-143.28150908761475
3;2020/12/19 09:33:55.319344;-48.443424046828085;-143.19267564726957
4;2020/12/19 09:33:56.345546;-48.42007846024498;-143.10373292389764
5;2020/12/19 09:33:57.370405;-48.39668847743227;-143.01499510620084
6;2020/12/19 09:33:58.396267;-48.37320287197119;-142.92627094888238
7;2020/12/19 09:33:59.420117;-48.34968653065883;-142.83779267837403
8;2020/12/19 09:34:00.446889;-48.32602675537391;-142.74915048332562
9;2020/12/19 09:34:01.479696;-48.302151829130125;-142.6600711561703
10;2020/12/19 09:34:02.506020;-48.2783554500618;-142.57164752717532
